country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",27-03-2025 13:00,28.6811736,77.3025234,OZONE,8,59,29
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",27-03-2025 13:00,22.118125,83.140608,PM10,38,97,74
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",27-03-2025 13:00,22.118125,83.140608,OZONE,17,70,26
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",27-03-2025 13:00,22.368195,82.746431,NO2,32,43,38
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",27-03-2025 13:00,22.368195,82.746431,CO,36,57,54
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",27-03-2025 13:00,22.348441,82.549611,NH3,1,6,3
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",27-03-2025 13:00,21.185571,81.343175,CO,21,58,35
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",27-03-2025 13:00,21.224231,81.40835,PM10,63,170,121
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",27-03-2025 13:00,21.224231,81.40835,OZONE,12,46,23
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",27-03-2025 13:00,22.08815,82.13737,NO2,17,36,19
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",27-03-2025 13:00,28.656756,77.227234,PM2.5,87,330,254
India,Delhi,Delhi,"DTU, Delhi - CPCB",27-03-2025 13:00,28.7500499,77.1112615,CO,30,78,66
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",27-03-2025 13:00,30.751462,76.762879,PM10,74,161,116
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",27-03-2025 13:00,30.719859,76.738637,SO2,7,9,8
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27-03-2025 13:00,28.56789,77.250515,NO2,24,113,68
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27-03-2025 13:00,28.56789,77.250515,CO,2,155,15
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",27-03-2025 13:00,28.6573814,77.1585447,NO2,20,133,83
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",27-03-2025 13:00,28.6573814,77.1585447,OZONE,6,226,16
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",27-03-2025 13:00,28.530785,77.271255,PM2.5,47,395,213
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",27-03-2025 13:00,28.623763,77.287209,PM10,100,405,274
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",27-03-2025 13:00,28.623763,77.287209,CO,10,105,85
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",27-03-2025 13:00,28.611281,77.237738,OZONE,2,248,42
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",27-03-2025 13:00,28.636429,77.201067,NH3,9,13,11
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",27-03-2025 13:00,28.636429,77.201067,OZONE,6,15,10
India,Delhi,Delhi,"Mundka, Delhi - DPCC",27-03-2025 13:00,28.684678,77.076574,PM10,119,500,361
India,Delhi,Delhi,"Mundka, Delhi - DPCC",27-03-2025 13:00,28.684678,77.076574,NH3,6,10,8
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",27-03-2025 13:00,28.60909,77.0325413,OZONE,15,46,20
India,Delhi,Delhi,"ITO, Delhi - CPCB",27-03-2025 13:00,28.628624,77.24106,NH3,5,19,11
India,Delhi,Delhi,"ITO, Delhi - CPCB",27-03-2025 13:00,28.628624,77.24106,SO2,1,21,12
India,Delhi,Delhi,"ITO, Delhi - CPCB",27-03-2025 13:00,28.628624,77.24106,CO,22,144,71
